,location,text
0,Twin Cities,@EdKrassen @realDonaldTrump For the thousanths time. How and why immediately after every single Trump Tweet either… https://t.co/VP83QqR2LY
1,"Santa Barbara, CA. 🇺🇸 🌎 🌌","#Venezuela White supremest coup
https://t.co/dKCMBrrpV3 https://t.co/i9TgQOycjD"
2,10 yrs. Los Angeles / Houston,"Look at this! 😍El Paso has raised the money to fly big baby tRump  over the MAGAT rally tomorrow. BRAVO! Fly high,… https://t.co/s1mARDq7EA"
3,I Am Everywhere,"@CNN Trump trash just can't stand the fact that the majority of human beings on this Earth hate them, mock their ig… https://t.co/0ibPJwkxHL"
4,United States,@Acyn Take that wussy Trump!
5,"Longmont, CO",Found out recently that a long time friend is pro trump and anti Obama/left anything. I can’t help but think differ… https://t.co/EeQEbLSviC
6,#UniteBlue in Semi-Red State,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/l3r9v9Vnrq"
7,Palm Desert California,@DonaldJTrumpJr Stop writing BLASTS. NO body BLASTS Trump ...NO body BLASTS the White House. A collection of evil w… https://t.co/831QpoZITt
8,Deep Undercover,"@faagifts Cap lock stuck? 
The same crooks who said smoking (smocking for Trump Fanboys) doesn't cause cancer are n… https://t.co/UF1zJum8kq"
9,Phoenix AZ ,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/tWW7a8i41p"
10,planetaTierra,#ProhibidoOlvidar cuando puensen en Votar por los democratas todos aquellos vznos que viven en EUA RECUERDEN quien… https://t.co/XeyhLkLJPu
11,"Ann Arbor, MI  Guitar Army",https://t.co/VByfMhz6br
12,Blue in a red leaning state,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/hHP4fHdjde"
13,Australia,He Predicted Trump Would Be President 6 Years Ag... https://t.co/lZlvCm63Ui
14,Deep Inna Heart of Texas,@ashtonpittman The Ill-Gotten Dick Pics is the name of my new Trump Org marching band.
15,"Campbell Town, Tasmania",@JacobAWohl @realDonaldTrump Sure there is  probably some. At 40% approval some white Americans like Trump too
16,Twin Cities,@EdKrassen @realDonaldTrump For the thousanths time. How and why immediately after every single Trump Tweet either… https://t.co/VP83QqR2LY
17,"Santa Barbara, CA. 🇺🇸 🌎 🌌","#Venezuela White supremest coup
https://t.co/dKCMBrrpV3 https://t.co/i9TgQOycjD"
18,10 yrs. Los Angeles / Houston,"Look at this! 😍El Paso has raised the money to fly big baby tRump  over the MAGAT rally tomorrow. BRAVO! Fly high,… https://t.co/s1mARDq7EA"
19,I Am Everywhere,"@CNN Trump trash just can't stand the fact that the majority of human beings on this Earth hate them, mock their ig… https://t.co/0ibPJwkxHL"
20,United States,@Acyn Take that wussy Trump!
21,"Longmont, CO",Found out recently that a long time friend is pro trump and anti Obama/left anything. I can’t help but think differ… https://t.co/EeQEbLSviC
22,#UniteBlue in Semi-Red State,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/l3r9v9Vnrq"
23,Palm Desert California,@DonaldJTrumpJr Stop writing BLASTS. NO body BLASTS Trump ...NO body BLASTS the White House. A collection of evil w… https://t.co/831QpoZITt
24,Deep Undercover,"@faagifts Cap lock stuck? 
The same crooks who said smoking (smocking for Trump Fanboys) doesn't cause cancer are n… https://t.co/UF1zJum8kq"
25,Phoenix AZ ,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/tWW7a8i41p"
26,planetaTierra,#ProhibidoOlvidar cuando puensen en Votar por los democratas todos aquellos vznos que viven en EUA RECUERDEN quien… https://t.co/XeyhLkLJPu
27,"Ann Arbor, MI  Guitar Army",https://t.co/VByfMhz6br
28,Blue in a red leaning state,"TRUMP'S MAJOR LIES
LIE #2
""I will raise taxes on the rich, including me! It's the right thing to do?""
Obviously TRU… https://t.co/hHP4fHdjde"
29,A Happy Place.,https://t.co/qDqpGR5uEY Absolutely love @JeffBezos action. His private life is his and he can take whatever picture… https://t.co/Qqoj5bULmO
30,"Texas, USA","SerialBrain2 - The NO CAVE Strategy: How Trump played Nancy, Chuck and t... https://t.co/0V1gqeWvnI via @YouTube"
